id,codice,titolo_it,titolo_en,livello,codice_padre,livello_padre,ordine,created_at,updated_at
1581,46.21.1,Commercio all'ingrosso di cereali,Wholesale of grains,5,46.21,4,1581,2026-01-30 14:17:51,2026-01-30 14:17:51
1582,46.21.10,Commercio all'ingrosso di cereali,Wholesale of grains,6,46.21.1,5,1582,2026-01-30 14:17:51,2026-01-30 14:17:51
1583,46.21.2,"Commercio all'ingrosso di tabacco grezzo, sementi e alimenti per il bestiame","Wholesale of unmanufactured tobacco, seeds and animal feeds",5,46.21,4,1583,2026-01-30 14:17:51,2026-01-30 14:17:51
1584,46.21.21,Commercio all'ingrosso di tabacco grezzo,Wholesale of unmanufactured tobacco,6,46.21.2,5,1584,2026-01-30 14:17:51,2026-01-30 14:17:51
1585,46.21.22,Commercio all'ingrosso di sementi e alimenti per il bestiame,Wholesale of seeds and animal feeds,6,46.21.2,5,1585,2026-01-30 14:17:51,2026-01-30 14:17:51
1586,46.22,Commercio all'ingrosso di fiori e piante,Wholesale of flowers and plants,4,46.2,3,1586,2026-01-30 14:17:51,2026-01-30 14:17:51
1587,46.22.0,Commercio all'ingrosso di fiori e piante,Wholesale of flowers and plants,5,46.22,4,1587,2026-01-30 14:17:51,2026-01-30 14:17:51
1588,46.22.00,Commercio all'ingrosso di fiori e piante,Wholesale of flowers and plants,6,46.22.0,5,1588,2026-01-30 14:17:51,2026-01-30 14:17:51
1589,46.23,Commercio all'ingrosso di animali vivi,Wholesale of live animals,4,46.2,3,1589,2026-01-30 14:17:51,2026-01-30 14:17:51
1590,46.23.0,Commercio all'ingrosso di animali vivi,Wholesale of live animals,5,46.23,4,1590,2026-01-30 14:17:51,2026-01-30 14:17:51
1591,46.23.00,Commercio all'ingrosso di animali vivi,Wholesale of live animals,6,46.23.0,5,1591,2026-01-30 14:17:51,2026-01-30 14:17:51
1592,46.24,Commercio all'ingrosso di pelli e cuoio,"Wholesale of hides, skins and leather",4,46.2,3,1592,2026-01-30 14:17:51,2026-01-30 14:17:51
1593,46.24.0,Commercio all'ingrosso di pelli e cuoio,"Wholesale of hides, skins and leather",5,46.24,4,1593,2026-01-30 14:17:51,2026-01-30 14:17:51
1594,46.24.01,Commercio all'ingrosso di pelli per pellicceria,Wholesale of fur skins,6,46.24.0,5,1594,2026-01-30 14:17:51,2026-01-30 14:17:51
1595,46.24.02,Commercio all'ingrosso di pelli non per pellicceria e cuoio,"Wholesale of other hides and leather, other than fur skins",6,46.24.0,5,1595,2026-01-30 14:17:51,2026-01-30 14:17:51
1596,46.3,"Commercio all'ingrosso di prodotti alimentari, bevande e tabacchi","Wholesale of food, beverages and tobacco",3,46,2,1596,2026-01-30 14:17:51,2026-01-30 14:17:51
1597,46.31,Commercio all'ingrosso di frutta e ortaggi,Wholesale of fruit and vegetables,4,46.3,3,1597,2026-01-30 14:17:51,2026-01-30 14:17:51
1598,46.31.1,Commercio all'ingrosso di frutta e ortaggi freschi,Wholesale of fresh fruit and vegetables,5,46.31,4,1598,2026-01-30 14:17:51,2026-01-30 14:17:51
1599,46.31.10,Commercio all'ingrosso di frutta e ortaggi freschi,Wholesale of fresh fruit and vegetables,6,46.31.1,5,1599,2026-01-30 14:17:51,2026-01-30 14:17:51
1600,46.31.2,Commercio all'ingrosso di frutta e ortaggi conservati o surgelati,Wholesale of preserved or frozen fruit and vegetables,5,46.31,4,1600,2026-01-30 14:17:51,2026-01-30 14:17:51
1601,46.31.20,Commercio all'ingrosso di frutta e ortaggi conservati o surgelati,Wholesale of preserved or frozen fruit and vegetables,6,46.31.2,5,1601,2026-01-30 14:17:51,2026-01-30 14:17:51
1602,46.32,"Commercio all'ingrosso di carne, prodotti a base di carne, pesce e prodotti a base di pesce","Wholesale of meat, meat products, fish and fish products",4,46.3,3,1602,2026-01-30 14:17:51,2026-01-30 14:17:51
1603,46.32.1,Commercio all'ingrosso di carne,Wholesale of meat,5,46.32,4,1603,2026-01-30 14:17:51,2026-01-30 14:17:51
1604,46.32.11,Commercio all'ingrosso di carni fresche,Wholesale of fresh meat,6,46.32.1,5,1604,2026-01-30 14:17:51,2026-01-30 14:17:51
1605,46.32.12,Commercio all'ingrosso di carni conservate o surgelate,Wholesale of frozen or preserved meat,6,46.32.1,5,1605,2026-01-30 14:17:51,2026-01-30 14:17:51
1606,46.32.2,Commercio all'ingrosso di salumi e di altri prodotti a base di carne,Wholesale of charcuterie and other meat products,5,46.32,4,1606,2026-01-30 14:17:51,2026-01-30 14:17:51
1607,46.32.20,Commercio all'ingrosso di salumi e di altri prodotti a base di carne,Wholesale of charcuterie and other meat products,6,46.32.2,5,1607,2026-01-30 14:17:51,2026-01-30 14:17:51
1608,46.32.3,Commercio all'ingrosso di pesce,Wholesale of fish,5,46.32,4,1608,2026-01-30 14:17:51,2026-01-30 14:17:51
1609,46.32.31,Commercio all'ingrosso di pesci freschi,Wholesale of fresh fish,6,46.32.3,5,1609,2026-01-30 14:17:51,2026-01-30 14:17:51
1610,46.32.32,Commercio all'ingrosso di pesci conservati o surgelati e di prodotti a base di pesce,Wholesale of preserved or frozen fish and fish products,6,46.32.3,5,1610,2026-01-30 14:17:51,2026-01-30 14:17:51
1611,46.33,"Commercio all'ingrosso di prodotti lattiero-caseari, uova, oli e grassi alimentari","Wholesale of dairy products, eggs and edible oils and fats",4,46.3,3,1611,2026-01-30 14:17:51,2026-01-30 14:17:51
1612,46.33.1,Commercio all'ingrosso di prodotti lattiero-caseari e uova,Wholesale of dairy products and eggs,5,46.33,4,1612,2026-01-30 14:17:51,2026-01-30 14:17:51
1613,46.33.10,Commercio all'ingrosso di prodotti lattiero-caseari e uova,Wholesale of dairy products and eggs,6,46.33.1,5,1613,2026-01-30 14:17:51,2026-01-30 14:17:51
1614,46.33.2,Commercio all'ingrosso di oli e grassi alimentari,Wholesale of edible oils and fats,5,46.33,4,1614,2026-01-30 14:17:51,2026-01-30 14:17:51
1615,46.33.20,Commercio all'ingrosso di oli e grassi alimentari,Wholesale of edible oils and fats,6,46.33.2,5,1615,2026-01-30 14:17:51,2026-01-30 14:17:51
1616,46.34,Commercio all'ingrosso di bevande,Wholesale of beverages,4,46.3,3,1616,2026-01-30 14:17:51,2026-01-30 14:17:51
1617,46.34.1,Commercio all'ingrosso di bevande alcoliche,Wholesale of alcoholic beverages,5,46.34,4,1617,2026-01-30 14:17:51,2026-01-30 14:17:51
1618,46.34.10,Commercio all'ingrosso di bevande alcoliche,Wholesale of alcoholic beverages,6,46.34.1,5,1618,2026-01-30 14:17:51,2026-01-30 14:17:51
1619,46.34.2,Commercio all'ingrosso di bevande analcoliche,Wholesale of non-alcoholic beverages,5,46.34,4,1619,2026-01-30 14:17:51,2026-01-30 14:17:51
1620,46.34.20,Commercio all'ingrosso di bevande analcoliche,Wholesale of non-alcoholic beverages,6,46.34.2,5,1620,2026-01-30 14:17:51,2026-01-30 14:17:51
1621,46.35,Commercio all'ingrosso di prodotti del tabacco,Wholesale of tobacco products,4,46.3,3,1621,2026-01-30 14:17:51,2026-01-30 14:17:51
1622,46.35.0,Commercio all'ingrosso di prodotti del tabacco,Wholesale of tobacco products,5,46.35,4,1622,2026-01-30 14:17:51,2026-01-30 14:17:51
1623,46.35.01,Commercio all'ingrosso di sigarette elettroniche,Wholesale of electronic cigarettes,6,46.35.0,5,1623,2026-01-30 14:17:51,2026-01-30 14:17:51
1624,46.35.09,Commercio all'ingrosso di prodotti del tabacco n.c.a.,Wholesale of tobacco products n.e.c.,6,46.35.0,5,1624,2026-01-30 14:17:51,2026-01-30 14:17:51
1625,46.36,"Commercio all'ingrosso di zucchero, cioccolato e dolciumi","Wholesale of sugar, chocolate and sugar confectionery",4,46.3,3,1625,2026-01-30 14:17:51,2026-01-30 14:17:51
1626,46.36.0,"Commercio all'ingrosso di zucchero, cioccolato e dolciumi","Wholesale of sugar, chocolate and sugar confectionery",5,46.36,4,1626,2026-01-30 14:17:51,2026-01-30 14:17:51
1627,46.36.00,"Commercio all'ingrosso di zucchero, cioccolato e dolciumi","Wholesale of sugar, chocolate and sugar confectionery",6,46.36.0,5,1627,2026-01-30 14:17:51,2026-01-30 14:17:51
1628,46.37,"Commercio all'ingrosso di caffè, tè, cacao e spezie","Wholesale of coffee, tea, cocoa and spices",4,46.3,3,1628,2026-01-30 14:17:51,2026-01-30 14:17:51
1629,46.37.0,"Commercio all'ingrosso di caffè, tè, cacao e spezie","Wholesale of coffee, tea, cocoa and spices",5,46.37,4,1629,2026-01-30 14:17:51,2026-01-30 14:17:51
1630,46.37.01,Commercio all'ingrosso di caffè,Wholesale of coffee,6,46.37.0,5,1630,2026-01-30 14:17:51,2026-01-30 14:17:51
1631,46.37.02,"Commercio all'ingrosso di tè, cacao e spezie","Wholesale of tea, cocoa and spices",6,46.37.0,5,1631,2026-01-30 14:17:51,2026-01-30 14:17:51
1632,46.38,Commercio all'ingrosso di altri prodotti alimentari,Wholesale of other food,4,46.3,3,1632,2026-01-30 14:17:51,2026-01-30 14:17:51
