id,codice,titolo_it,titolo_en,livello,codice_padre,livello_padre,ordine,created_at,updated_at
1,A,"AGRICOLTURA, SILVICOLTURA E PESCA","AGRICULTURE, FORESTRY AND FISHING",1,,,1,2026-01-30 14:17:49,2026-01-30 14:17:49
2,01,"Produzioni vegetali e animali, caccia e servizi connessi","Crop and animal production, hunting and related service activities",2,A,1,2,2026-01-30 14:17:49,2026-01-30 14:17:49
3,01.1,Coltivazione di colture agricole non permanenti,Growing of non-perennial crops,3,01,2,3,2026-01-30 14:17:49,2026-01-30 14:17:49
4,01.11,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds",4,01.1,3,4,2026-01-30 14:17:49,2026-01-30 14:17:49
5,01.11.0,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds",5,01.11,4,5,2026-01-30 14:17:49,2026-01-30 14:17:49
6,01.11.00,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds",6,01.11.0,5,6,2026-01-30 14:17:49,2026-01-30 14:17:49
7,01.12,Coltivazione di riso,Growing of rice,4,01.1,3,7,2026-01-30 14:17:49,2026-01-30 14:17:49
8,01.12.0,Coltivazione di riso,Growing of rice,5,01.12,4,8,2026-01-30 14:17:49,2026-01-30 14:17:49
9,01.12.00,Coltivazione di riso,Growing of rice,6,01.12.0,5,9,2026-01-30 14:17:49,2026-01-30 14:17:49
10,01.13,"Coltivazione di ortaggi e meloni, radici e tuberi","Growing of vegetables and melons, roots and tubers",4,01.1,3,10,2026-01-30 14:17:49,2026-01-30 14:17:49
11,01.13.1,Coltivazione di ortaggi e meloni,Growing of vegetables and melons,5,01.13,4,11,2026-01-30 14:17:49,2026-01-30 14:17:49
12,01.13.11,Coltivazione di ortaggi e meloni in piena aria,Growing of vegetables and melons in open fields,6,01.13.1,5,12,2026-01-30 14:17:49,2026-01-30 14:17:49
13,01.13.12,Coltivazione di ortaggi e meloni in colture protette fuori suolo,Growing of vegetables and melons in greenhouses as soil-less culture,6,01.13.1,5,13,2026-01-30 14:17:49,2026-01-30 14:17:49
14,01.13.13,"Coltivazione di ortaggi e meloni in altre colture protette, escluse colture fuori suolo","Growing of vegetables and melons in greenhouses, other than soil-less culture",6,01.13.1,5,14,2026-01-30 14:17:49,2026-01-30 14:17:49
15,01.13.2,"Coltivazione di radici, incluse barbabietole da zucchero","Growing of roots, including sugar beet",5,01.13,4,15,2026-01-30 14:17:49,2026-01-30 14:17:49
16,01.13.20,"Coltivazione di radici, incluse barbabietole da zucchero","Growing of roots, including sugar beet",6,01.13.2,5,16,2026-01-30 14:17:49,2026-01-30 14:17:49
17,01.13.3,"Coltivazione di tuberi, incluse patate","Growing of tubers, including potatoes",5,01.13,4,17,2026-01-30 14:17:49,2026-01-30 14:17:49
18,01.13.30,"Coltivazione di tuberi, incluse patate","Growing of tubers, including potatoes",6,01.13.3,5,18,2026-01-30 14:17:49,2026-01-30 14:17:49
19,01.14,Coltivazione di canna da zucchero,Growing of sugar cane,4,01.1,3,19,2026-01-30 14:17:49,2026-01-30 14:17:49
20,01.14.0,Coltivazione di canna da zucchero,Growing of sugar cane,5,01.14,4,20,2026-01-30 14:17:49,2026-01-30 14:17:49
21,01.14.00,Coltivazione di canna da zucchero,Growing of sugar cane,6,01.14.0,5,21,2026-01-30 14:17:49,2026-01-30 14:17:49
22,01.15,Coltivazione di tabacco,Growing of tobacco,4,01.1,3,22,2026-01-30 14:17:49,2026-01-30 14:17:49
23,01.15.0,Coltivazione di tabacco,Growing of tobacco,5,01.15,4,23,2026-01-30 14:17:49,2026-01-30 14:17:49
24,01.15.00,Coltivazione di tabacco,Growing of tobacco,6,01.15.0,5,24,2026-01-30 14:17:49,2026-01-30 14:17:49
25,01.16,Coltivazione di piante tessili,Growing of fibre crops,4,01.1,3,25,2026-01-30 14:17:49,2026-01-30 14:17:49
26,01.16.0,Coltivazione di piante tessili,Growing of fibre crops,5,01.16,4,26,2026-01-30 14:17:49,2026-01-30 14:17:49
27,01.16.00,Coltivazione di piante tessili,Growing of fibre crops,6,01.16.0,5,27,2026-01-30 14:17:49,2026-01-30 14:17:49
28,01.19,Coltivazione di altre colture agricole non permanenti,Growing of other non-perennial crops,4,01.1,3,28,2026-01-30 14:17:49,2026-01-30 14:17:49
29,01.19.1,Coltivazione di fiori,Growing of flowers,5,01.19,4,29,2026-01-30 14:17:49,2026-01-30 14:17:49
30,01.19.11,Coltivazione di fiori in piena aria,Growing of flowers in open fields,6,01.19.1,5,30,2026-01-30 14:17:49,2026-01-30 14:17:49
31,01.19.12,Coltivazione di fiori in colture protette fuori suolo,Growing of flowers in greenhouses as soil-less culture,6,01.19.1,5,31,2026-01-30 14:17:49,2026-01-30 14:17:49
32,01.19.13,"Coltivazione di fiori in altre colture protette, escluse colture fuori suolo","Growing of flowers in greenhouses, other than soil-less culture",6,01.19.1,5,32,2026-01-30 14:17:49,2026-01-30 14:17:49
33,01.19.9,Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.,Growing of crops for fodder and of other non-perennial crops n.e.c.,5,01.19,4,33,2026-01-30 14:17:49,2026-01-30 14:17:49
34,01.19.90,Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.,Growing of crops for fodder and of other non-perennial crops n.e.c.,6,01.19.9,5,34,2026-01-30 14:17:49,2026-01-30 14:17:49
35,01.2,Coltivazione di colture agricole permanenti,Growing of perennial crops,3,01,2,35,2026-01-30 14:17:49,2026-01-30 14:17:49
36,01.21,Coltivazione di uva,Growing of grapes,4,01.2,3,36,2026-01-30 14:17:49,2026-01-30 14:17:49
37,01.21.0,Coltivazione di uva,Growing of grapes,5,01.21,4,37,2026-01-30 14:17:49,2026-01-30 14:17:49
38,01.21.00,Coltivazione di uva,Growing of grapes,6,01.21.0,5,38,2026-01-30 14:17:49,2026-01-30 14:17:49
39,01.22,Coltivazione di frutta di origine tropicale e subtropicale,Growing of tropical and subtropical fruits,4,01.2,3,39,2026-01-30 14:17:49,2026-01-30 14:17:49
40,01.22.0,Coltivazione di frutta di origine tropicale e subtropicale,Growing of tropical and subtropical fruits,5,01.22,4,40,2026-01-30 14:17:49,2026-01-30 14:17:49
41,01.22.00,Coltivazione di frutta di origine tropicale e subtropicale,Growing of tropical and subtropical fruits,6,01.22.0,5,41,2026-01-30 14:17:49,2026-01-30 14:17:49
42,01.23,Coltivazione di agrumi,Growing of citrus fruits,4,01.2,3,42,2026-01-30 14:17:49,2026-01-30 14:17:49
43,01.23.0,Coltivazione di agrumi,Growing of citrus fruits,5,01.23,4,43,2026-01-30 14:17:49,2026-01-30 14:17:49
44,01.23.00,Coltivazione di agrumi,Growing of citrus fruits,6,01.23.0,5,44,2026-01-30 14:17:49,2026-01-30 14:17:49
45,01.24,Coltivazione di pomacee e frutta a nocciolo,Growing of pome fruits and stone fruits,4,01.2,3,45,2026-01-30 14:17:49,2026-01-30 14:17:49
46,01.24.0,Coltivazione di pomacee e frutta a nocciolo,Growing of pome fruits and stone fruits,5,01.24,4,46,2026-01-30 14:17:49,2026-01-30 14:17:49
47,01.24.00,Coltivazione di pomacee e frutta a nocciolo,Growing of pome fruits and stone fruits,6,01.24.0,5,47,2026-01-30 14:17:49,2026-01-30 14:17:49
48,01.25,"Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio",Growing of other tree and bush fruits and nuts,4,01.2,3,48,2026-01-30 14:17:49,2026-01-30 14:17:49
49,01.25.0,"Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio",Growing of other tree and bush fruits and nuts,5,01.25,4,49,2026-01-30 14:17:49,2026-01-30 14:17:49
50,01.25.00,"Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio",Growing of other tree and bush fruits and nuts,6,01.25.0,5,50,2026-01-30 14:17:49,2026-01-30 14:17:49
51,01.26,Coltivazione di frutti oleosi,Growing of oleaginous fruits,4,01.2,3,51,2026-01-30 14:17:49,2026-01-30 14:17:49
52,01.26.0,Coltivazione di frutti oleosi,Growing of oleaginous fruits,5,01.26,4,52,2026-01-30 14:17:49,2026-01-30 14:17:49
53,01.26.00,Coltivazione di frutti oleosi,Growing of oleaginous fruits,6,01.26.0,5,53,2026-01-30 14:17:49,2026-01-30 14:17:49
54,01.27,Coltivazione di piante per la produzione di bevande,Growing of beverage crops,4,01.2,3,54,2026-01-30 14:17:49,2026-01-30 14:17:49
55,01.27.0,Coltivazione di piante per la produzione di bevande,Growing of beverage crops,5,01.27,4,55,2026-01-30 14:17:49,2026-01-30 14:17:49
56,01.27.00,Coltivazione di piante per la produzione di bevande,Growing of beverage crops,6,01.27.0,5,56,2026-01-30 14:17:49,2026-01-30 14:17:49
57,01.28,"Coltivazione di spezie, piante aromatiche e farmaceutiche","Growing of spices, aromatic, drug and pharmaceutical crops",4,01.2,3,57,2026-01-30 14:17:49,2026-01-30 14:17:49
58,01.28.0,"Coltivazione di spezie, piante aromatiche e farmaceutiche","Growing of spices, aromatic, drug and pharmaceutical crops",5,01.28,4,58,2026-01-30 14:17:49,2026-01-30 14:17:49
59,01.28.00,"Coltivazione di spezie, piante aromatiche e farmaceutiche","Growing of spices, aromatic, drug and pharmaceutical crops",6,01.28.0,5,59,2026-01-30 14:17:49,2026-01-30 14:17:49
60,01.29,Coltivazione di altre colture agricole permanenti,Growing of other perennial crops,4,01.2,3,60,2026-01-30 14:17:49,2026-01-30 14:17:49
61,01.29.0,Coltivazione di altre colture agricole permanenti,Growing of other perennial crops,5,01.29,4,61,2026-01-30 14:17:49,2026-01-30 14:17:49
62,01.29.00,Coltivazione di altre colture agricole permanenti,Growing of other perennial crops,6,01.29.0,5,62,2026-01-30 14:17:49,2026-01-30 14:17:49
63,01.3,Riproduzione delle piante,Plant propagation,3,01,2,63,2026-01-30 14:17:49,2026-01-30 14:17:49
64,01.30,Riproduzione delle piante,Plant propagation,4,01.3,3,64,2026-01-30 14:17:49,2026-01-30 14:17:49
65,01.30.0,Riproduzione delle piante,Plant propagation,5,01.30,4,65,2026-01-30 14:17:49,2026-01-30 14:17:49
66,01.30.00,Riproduzione delle piante,Plant propagation,6,01.30.0,5,66,2026-01-30 14:17:49,2026-01-30 14:17:49
67,01.4,Allevamento di animali,Animal production,3,01,2,67,2026-01-30 14:17:49,2026-01-30 14:17:49
68,01.41,Allevamento di bovini da latte,Raising of dairy cattle,4,01.4,3,68,2026-01-30 14:17:49,2026-01-30 14:17:49
69,01.41.0,Allevamento di bovini da latte,Raising of dairy cattle,5,01.41,4,69,2026-01-30 14:17:49,2026-01-30 14:17:49
70,01.41.00,Allevamento di bovini da latte,Raising of dairy cattle,6,01.41.0,5,70,2026-01-30 14:17:49,2026-01-30 14:17:49
71,01.42,Allevamento di altri bovini e bufalini,Raising of other cattle and buffaloes,4,01.4,3,71,2026-01-30 14:17:49,2026-01-30 14:17:49
72,01.42.0,Allevamento di altri bovini e bufalini,Raising of other cattle and buffaloes,5,01.42,4,72,2026-01-30 14:17:49,2026-01-30 14:17:49
73,01.42.00,Allevamento di altri bovini e bufalini,Raising of other cattle and buffaloes,6,01.42.0,5,73,2026-01-30 14:17:49,2026-01-30 14:17:49
74,01.43,Allevamento di cavalli e altri equini,Raising of horses and other equines,4,01.4,3,74,2026-01-30 14:17:49,2026-01-30 14:17:49
75,01.43.0,Allevamento di cavalli e altri equini,Raising of horses and other equines,5,01.43,4,75,2026-01-30 14:17:49,2026-01-30 14:17:49
76,01.43.00,Allevamento di cavalli e altri equini,Raising of horses and other equines,6,01.43.0,5,76,2026-01-30 14:17:49,2026-01-30 14:17:49
77,01.44,Allevamento di cammelli e camelidi,Raising of camels and camelids,4,01.4,3,77,2026-01-30 14:17:49,2026-01-30 14:17:49
78,01.44.0,Allevamento di cammelli e camelidi,Raising of camels and camelids,5,01.44,4,78,2026-01-30 14:17:49,2026-01-30 14:17:49
79,01.44.00,Allevamento di cammelli e camelidi,Raising of camels and camelids,6,01.44.0,5,79,2026-01-30 14:17:49,2026-01-30 14:17:49
80,01.45,Allevamento di ovini e caprini,Raising of sheep and goats,4,01.4,3,80,2026-01-30 14:17:49,2026-01-30 14:17:49
81,01.45.0,Allevamento di ovini e caprini,Raising of sheep and goats,5,01.45,4,81,2026-01-30 14:17:49,2026-01-30 14:17:49
82,01.45.00,Allevamento di ovini e caprini,Raising of sheep and goats,6,01.45.0,5,82,2026-01-30 14:17:49,2026-01-30 14:17:49
83,01.46,Allevamento di suini,Raising of swine and pigs,4,01.4,3,83,2026-01-30 14:17:49,2026-01-30 14:17:49
84,01.46.0,Allevamento di suini,Raising of swine and pigs,5,01.46,4,84,2026-01-30 14:17:49,2026-01-30 14:17:49
85,01.46.00,Allevamento di suini,Raising of swine and pigs,6,01.46.0,5,85,2026-01-30 14:17:49,2026-01-30 14:17:49
86,01.47,Allevamento di pollame,Raising of poultry,4,01.4,3,86,2026-01-30 14:17:49,2026-01-30 14:17:49
87,01.47.0,Allevamento di pollame,Raising of poultry,5,01.47,4,87,2026-01-30 14:17:49,2026-01-30 14:17:49
88,01.47.00,Allevamento di pollame,Raising of poultry,6,01.47.0,5,88,2026-01-30 14:17:49,2026-01-30 14:17:49
89,01.48,Allevamento di altri animali,Raising of other animals,4,01.4,3,89,2026-01-30 14:17:49,2026-01-30 14:17:49
90,01.48.1,Allevamento di conigli,Raising of rabbits,5,01.48,4,90,2026-01-30 14:17:49,2026-01-30 14:17:49
91,01.48.10,Allevamento di conigli,Raising of rabbits,6,01.48.1,5,91,2026-01-30 14:17:49,2026-01-30 14:17:49
92,01.48.2,Allevamento di altri animali da pelliccia,Raising of other fur animals,5,01.48,4,92,2026-01-30 14:17:49,2026-01-30 14:17:49
93,01.48.20,Allevamento di altri animali da pelliccia,Raising of other fur animals,6,01.48.2,5,93,2026-01-30 14:17:49,2026-01-30 14:17:49
94,01.48.3,Apicoltura,Bee-keeping,5,01.48,4,94,2026-01-30 14:17:49,2026-01-30 14:17:49
95,01.48.30,Apicoltura,Bee-keeping,6,01.48.3,5,95,2026-01-30 14:17:49,2026-01-30 14:17:49
96,01.48.4,Bachicoltura,Sericulture,5,01.48,4,96,2026-01-30 14:17:49,2026-01-30 14:17:49
97,01.48.40,Bachicoltura,Sericulture,6,01.48.4,5,97,2026-01-30 14:17:49,2026-01-30 14:17:49
98,01.48.9,Allevamento di altri animali n.c.a.,Raising of other animals n.e.c.,5,01.48,4,98,2026-01-30 14:17:49,2026-01-30 14:17:49
99,01.48.91,Allevamento di insetti,Raising of insects,6,01.48.9,5,99,2026-01-30 14:17:49,2026-01-30 14:17:49
100,01.48.99,Allevamento di altri animali vari n.c.a.,Raising of other various animals n.e.c.,6,01.48.9,5,100,2026-01-30 14:17:49,2026-01-30 14:17:49
101,01.5,Coltivazioni agricole associate all'allevamento di animali: attività mista,Mixed farming,3,01,2,101,2026-01-30 14:17:49,2026-01-30 14:17:49
102,01.50,Coltivazioni agricole associate all'allevamento di animali: attività mista,Mixed farming,4,01.5,3,102,2026-01-30 14:17:49,2026-01-30 14:17:49
103,01.50.0,Coltivazioni agricole associate all'allevamento di animali: attività mista,Mixed farming,5,01.50,4,103,2026-01-30 14:17:49,2026-01-30 14:17:49
104,01.50.00,Coltivazioni agricole associate all'allevamento di animali: attività mista,Mixed farming,6,01.50.0,5,104,2026-01-30 14:17:49,2026-01-30 14:17:49
105,01.6,Attività di supporto all'agricoltura e attività successive alla raccolta,Support activities to agriculture and post-harvest crop activities,3,01,2,105,2026-01-30 14:17:49,2026-01-30 14:17:49
106,01.61,Attività di supporto alla produzione vegetale,Support activities for crop production,4,01.6,3,106,2026-01-30 14:17:49,2026-01-30 14:17:49
107,01.61.1,Manutenzione del terreno per mantenerlo in buone condizioni,Maintenance of land keeping it in good condition,5,01.61,4,107,2026-01-30 14:17:49,2026-01-30 14:17:49
108,01.61.10,Manutenzione del terreno per mantenerlo in buone condizioni,Maintenance of land keeping it in good condition,6,01.61.1,5,108,2026-01-30 14:17:49,2026-01-30 14:17:49
109,01.61.9,Attività di supporto alla produzione vegetale n.c.a.,Support activities for crop production n.e.c.,5,01.61,4,109,2026-01-30 14:17:49,2026-01-30 14:17:49
110,01.61.91,Trattamenti fitosanitari,Pesticides application,6,01.61.9,5,110,2026-01-30 14:17:49,2026-01-30 14:17:49
111,01.61.99,Altre attività di supporto alla produzione vegetale n.c.a.,Other support activities for crop production n.e.c.,6,01.61.9,5,111,2026-01-30 14:17:49,2026-01-30 14:17:49
112,01.62,Attività di supporto alla produzione animale,Support activities for animal production,4,01.6,3,112,2026-01-30 14:17:49,2026-01-30 14:17:49
113,01.62.0,Attività di supporto alla produzione animale,Support activities for animal production,5,01.62,4,113,2026-01-30 14:17:49,2026-01-30 14:17:49
114,01.62.01,Attività di maniscalchi,Activities of farriers,6,01.62.0,5,114,2026-01-30 14:17:49,2026-01-30 14:17:49
115,01.62.09,Altre attività di supporto alla produzione animale,Other support activities for animal production,6,01.62.0,5,115,2026-01-30 14:17:49,2026-01-30 14:17:49
116,01.63,Attività successive alla raccolta e lavorazione delle sementi per la semina,Post-harvest crop activities and seed processing for propagation,4,01.6,3,116,2026-01-30 14:17:49,2026-01-30 14:17:49
117,01.63.1,Attività successive alla raccolta,Post-harvest crop activities,5,01.63,4,117,2026-01-30 14:17:49,2026-01-30 14:17:49
118,01.63.10,Attività successive alla raccolta,Post-harvest crop activities,6,01.63.1,5,118,2026-01-30 14:17:49,2026-01-30 14:17:49
119,01.63.2,Lavorazione delle sementi per la semina,Seed processing for propagation,5,01.63,4,119,2026-01-30 14:17:49,2026-01-30 14:17:49
120,01.63.20,Lavorazione delle sementi per la semina,Seed processing for propagation,6,01.63.2,5,120,2026-01-30 14:17:49,2026-01-30 14:17:49
121,01.7,"Caccia, cattura di animali e servizi connessi","Hunting, trapping and related service activities",3,01,2,121,2026-01-30 14:17:49,2026-01-30 14:17:49
122,01.70,"Caccia, cattura di animali e servizi connessi","Hunting, trapping and related service activities",4,01.7,3,122,2026-01-30 14:17:49,2026-01-30 14:17:49
123,01.70.0,"Caccia, cattura di animali e servizi connessi","Hunting, trapping and related service activities",5,01.70,4,123,2026-01-30 14:17:49,2026-01-30 14:17:49
124,01.70.00,"Caccia, cattura di animali e servizi connessi","Hunting, trapping and related service activities",6,01.70.0,5,124,2026-01-30 14:17:49,2026-01-30 14:17:49
125,02,Silvicoltura e utilizzo di aree forestali,Forestry and logging,2,A,1,125,2026-01-30 14:17:49,2026-01-30 14:17:49
126,02.1,Silvicoltura e altre attività forestali,Silviculture and other forestry activities,3,02,2,126,2026-01-30 14:17:49,2026-01-30 14:17:49
127,02.10,Silvicoltura e altre attività forestali,Silviculture and other forestry activities,4,02.1,3,127,2026-01-30 14:17:49,2026-01-30 14:17:49
128,02.10.0,Silvicoltura e altre attività forestali,Silviculture and other forestry activities,5,02.10,4,128,2026-01-30 14:17:49,2026-01-30 14:17:49
129,02.10.00,Silvicoltura e altre attività forestali,Silviculture and other forestry activities,6,02.10.0,5,129,2026-01-30 14:17:49,2026-01-30 14:17:49
130,02.2,Utilizzo di aree forestali,Logging,3,02,2,130,2026-01-30 14:17:49,2026-01-30 14:17:49
131,02.20,Utilizzo di aree forestali,Logging,4,02.2,3,131,2026-01-30 14:17:49,2026-01-30 14:17:49
132,02.20.0,Utilizzo di aree forestali,Logging,5,02.20,4,132,2026-01-30 14:17:49,2026-01-30 14:17:49
133,02.20.00,Utilizzo di aree forestali,Logging,6,02.20.0,5,133,2026-01-30 14:17:49,2026-01-30 14:17:49
134,02.3,Raccolta di prodotti selvatici non legnosi,Gathering of wild growing non-wood products,3,02,2,134,2026-01-30 14:17:49,2026-01-30 14:17:49
135,02.30,Raccolta di prodotti selvatici non legnosi,Gathering of wild growing non-wood products,4,02.3,3,135,2026-01-30 14:17:49,2026-01-30 14:17:49
136,02.30.0,Raccolta di prodotti selvatici non legnosi,Gathering of wild growing non-wood products,5,02.30,4,136,2026-01-30 14:17:49,2026-01-30 14:17:49
137,02.30.00,Raccolta di prodotti selvatici non legnosi,Gathering of wild growing non-wood products,6,02.30.0,5,137,2026-01-30 14:17:49,2026-01-30 14:17:49
138,02.4,Servizi di supporto per la silvicoltura,Support services to forestry,3,02,2,138,2026-01-30 14:17:49,2026-01-30 14:17:49
139,02.40,Servizi di supporto per la silvicoltura,Support services to forestry,4,02.4,3,139,2026-01-30 14:17:49,2026-01-30 14:17:49
140,02.40.0,Servizi di supporto per la silvicoltura,Support services to forestry,5,02.40,4,140,2026-01-30 14:17:49,2026-01-30 14:17:49
141,02.40.00,Servizi di supporto per la silvicoltura,Support services to forestry,6,02.40.0,5,141,2026-01-30 14:17:49,2026-01-30 14:17:49
142,03,Pesca e acquacoltura,Fishing and aquaculture,2,A,1,142,2026-01-30 14:17:49,2026-01-30 14:17:49
143,03.1,Pesca,Fishing,3,03,2,143,2026-01-30 14:17:49,2026-01-30 14:17:49
144,03.11,Pesca marina,Marine fishing,4,03.1,3,144,2026-01-30 14:17:49,2026-01-30 14:17:49
145,03.11.0,Pesca marina,Marine fishing,5,03.11,4,145,2026-01-30 14:17:49,2026-01-30 14:17:49
146,03.11.00,Pesca marina,Marine fishing,6,03.11.0,5,146,2026-01-30 14:17:49,2026-01-30 14:17:49
147,03.12,Pesca in acque dolci,Freshwater fishing,4,03.1,3,147,2026-01-30 14:17:49,2026-01-30 14:17:49
148,03.12.0,Pesca in acque dolci,Freshwater fishing,5,03.12,4,148,2026-01-30 14:17:49,2026-01-30 14:17:49
149,03.12.00,Pesca in acque dolci,Freshwater fishing,6,03.12.0,5,149,2026-01-30 14:17:49,2026-01-30 14:17:49
150,03.2,Acquacoltura,Aquaculture,3,03,2,150,2026-01-30 14:17:49,2026-01-30 14:17:49
151,03.21,Acquacoltura marina,Marine aquaculture,4,03.2,3,151,2026-01-30 14:17:49,2026-01-30 14:17:49
152,03.21.0,Acquacoltura marina,Marine aquaculture,5,03.21,4,152,2026-01-30 14:17:49,2026-01-30 14:17:49
153,03.21.01,Coltivazione di alghe marine,Marine algae cultivation,6,03.21.0,5,153,2026-01-30 14:17:49,2026-01-30 14:17:49
154,03.21.09,Altre attività di acquacoltura marina,Other activities of marine aquaculture,6,03.21.0,5,154,2026-01-30 14:17:49,2026-01-30 14:17:49
155,03.22,Acquacoltura in acque dolci,Freshwater aquaculture,4,03.2,3,155,2026-01-30 14:17:49,2026-01-30 14:17:49
156,03.22.0,Acquacoltura in acque dolci,Freshwater aquaculture,5,03.22,4,156,2026-01-30 14:17:49,2026-01-30 14:17:49
157,03.22.01,Coltivazione di alghe in acque dolci,Freshwater algae cultivation,6,03.22.0,5,157,2026-01-30 14:17:49,2026-01-30 14:17:49
158,03.22.09,Altre attività di acquacoltura in acque dolci,Other activities of freshwater aquaculture,6,03.22.0,5,158,2026-01-30 14:17:49,2026-01-30 14:17:49
159,03.3,Attività di supporto alla pesca e all'acquacoltura,Support activities for fishing and aquaculture,3,03,2,159,2026-01-30 14:17:49,2026-01-30 14:17:49
160,03.30,Attività di supporto alla pesca e all'acquacoltura,Support activities for fishing and aquaculture,4,03.3,3,160,2026-01-30 14:17:49,2026-01-30 14:17:49
161,03.30.0,Attività di supporto alla pesca e all'acquacoltura,Support activities for fishing and aquaculture,5,03.30,4,161,2026-01-30 14:17:49,2026-01-30 14:17:49
162,03.30.00,Attività di supporto alla pesca e all'acquacoltura,Support activities for fishing and aquaculture,6,03.30.0,5,162,2026-01-30 14:17:49,2026-01-30 14:17:49
163,B,ATTIVITÀ ESTRATTIVE,MINING AND QUARRYING,1,,,163,2026-01-30 14:17:49,2026-01-30 14:17:49
164,05,Estrazione di carbone e lignite,Mining of coal and lignite,2,B,1,164,2026-01-30 14:17:49,2026-01-30 14:17:49
165,05.1,Estrazione di antracite,Mining of hard coal,3,05,2,165,2026-01-30 14:17:49,2026-01-30 14:17:49
166,05.10,Estrazione di antracite,Mining of hard coal,4,05.1,3,166,2026-01-30 14:17:49,2026-01-30 14:17:49
167,05.10.0,Estrazione di antracite,Mining of hard coal,5,05.10,4,167,2026-01-30 14:17:49,2026-01-30 14:17:49
168,05.10.00,Estrazione di antracite,Mining of hard coal,6,05.10.0,5,168,2026-01-30 14:17:49,2026-01-30 14:17:49
169,05.2,Estrazione di lignite,Mining of lignite,3,05,2,169,2026-01-30 14:17:49,2026-01-30 14:17:49
170,05.20,Estrazione di lignite,Mining of lignite,4,05.2,3,170,2026-01-30 14:17:49,2026-01-30 14:17:49
171,05.20.0,Estrazione di lignite,Mining of lignite,5,05.20,4,171,2026-01-30 14:17:49,2026-01-30 14:17:49
172,05.20.00,Estrazione di lignite,Mining of lignite,6,05.20.0,5,172,2026-01-30 14:17:49,2026-01-30 14:17:49
173,06,Estrazione di petrolio greggio e gas naturale,Extraction of crude petroleum and natural gas,2,B,1,173,2026-01-30 14:17:49,2026-01-30 14:17:49
174,06.1,Estrazione di petrolio greggio,Extraction of crude petroleum,3,06,2,174,2026-01-30 14:17:49,2026-01-30 14:17:49
175,06.10,Estrazione di petrolio greggio,Extraction of crude petroleum,4,06.1,3,175,2026-01-30 14:17:49,2026-01-30 14:17:49
176,06.10.0,Estrazione di petrolio greggio,Extraction of crude petroleum,5,06.10,4,176,2026-01-30 14:17:49,2026-01-30 14:17:49
177,06.10.00,Estrazione di petrolio greggio,Extraction of crude petroleum,6,06.10.0,5,177,2026-01-30 14:17:49,2026-01-30 14:17:49
178,06.2,Estrazione di gas naturale,Extraction of natural gas,3,06,2,178,2026-01-30 14:17:49,2026-01-30 14:17:49
179,06.20,Estrazione di gas naturale,Extraction of natural gas,4,06.2,3,179,2026-01-30 14:17:49,2026-01-30 14:17:49
180,06.20.0,Estrazione di gas naturale,Extraction of natural gas,5,06.20,4,180,2026-01-30 14:17:49,2026-01-30 14:17:49
181,06.20.00,Estrazione di gas naturale,Extraction of natural gas,6,06.20.0,5,181,2026-01-30 14:17:49,2026-01-30 14:17:49
182,07,Estrazione di minerali metalliferi,Mining of metal ores,2,B,1,182,2026-01-30 14:17:49,2026-01-30 14:17:49
183,07.1,Estrazione di minerali metalliferi ferrosi,Mining of iron ores,3,07,2,183,2026-01-30 14:17:49,2026-01-30 14:17:49
184,07.10,Estrazione di minerali metalliferi ferrosi,Mining of iron ores,4,07.1,3,184,2026-01-30 14:17:49,2026-01-30 14:17:49
185,07.10.0,Estrazione di minerali metalliferi ferrosi,Mining of iron ores,5,07.10,4,185,2026-01-30 14:17:49,2026-01-30 14:17:49
186,07.10.00,Estrazione di minerali metalliferi ferrosi,Mining of iron ores,6,07.10.0,5,186,2026-01-30 14:17:49,2026-01-30 14:17:49
187,07.2,Estrazione di minerali metalliferi non ferrosi,Mining of non-ferrous metal ores,3,07,2,187,2026-01-30 14:17:49,2026-01-30 14:17:49
188,07.21,Estrazione di minerali di uranio e torio,Mining of uranium and thorium ores,4,07.2,3,188,2026-01-30 14:17:49,2026-01-30 14:17:49
189,07.21.0,Estrazione di minerali di uranio e torio,Mining of uranium and thorium ores,5,07.21,4,189,2026-01-30 14:17:49,2026-01-30 14:17:49
190,07.21.00,Estrazione di minerali di uranio e torio,Mining of uranium and thorium ores,6,07.21.0,5,190,2026-01-30 14:17:49,2026-01-30 14:17:49
191,07.29,Estrazione di altri minerali metalliferi non ferrosi,Mining of other non-ferrous metal ores,4,07.2,3,191,2026-01-30 14:17:49,2026-01-30 14:17:49
192,07.29.0,Estrazione di altri minerali metalliferi non ferrosi,Mining of other non-ferrous metal ores,5,07.29,4,192,2026-01-30 14:17:49,2026-01-30 14:17:49
